                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.82404,                0.50164,                 0.8817,                0.84035,                0.85574,                0.90461,                0.68471,                0.76685,                 0.5307,                0.83966,               0.006436,               0.006436,               0.006436
                     38,                0.81831,                0.49673,                0.88324,                0.84319,                0.85564,                0.90325,                0.68869,                0.75871,                0.53018,                0.83978,               0.006337,               0.006337,               0.006337
                     39,                0.81845,                0.49521,                0.88052,                0.84454,                0.86043,                0.90558,                0.68666,                 0.7629,                0.53448,                0.84007,               0.006238,               0.006238,               0.006238
                     40,                0.81356,                0.48638,                0.87948,                0.84074,                0.85812,                 0.9046,                 0.6869,                0.76765,                0.53572,                0.84283,               0.006139,               0.006139,               0.006139
                     41,                0.80753,                 0.4842,                0.87694,                0.85302,                0.85525,                0.90539,                0.68859,                0.75715,                0.52866,                0.84022,                0.00604,                0.00604,                0.00604
                     42,                0.80416,                0.47953,                0.87686,                0.84389,                0.85911,                 0.9065,                0.68955,                0.76526,                0.53127,                0.84126,               0.005941,               0.005941,               0.005941
                     43,                0.80353,                0.47633,                0.87796,                0.85296,                0.85494,                0.90424,                0.68791,                0.75872,                 0.5294,                0.84083,               0.005842,               0.005842,               0.005842
                     44,                0.79743,                0.47163,                0.87553,                0.83707,                 0.8647,                 0.9065,                0.69077,                0.76295,                0.53001,                 0.8399,               0.005743,               0.005743,               0.005743
                     45,                0.79612,                0.46795,                0.87309,                0.85446,                0.85459,                0.90666,                0.68897,                0.76082,                0.52977,                0.83787,               0.005644,               0.005644,               0.005644
                     46,                 0.7891,                0.46496,                0.87349,                0.83827,                0.86634,                0.90518,                0.68979,                0.75041,                0.53023,                0.83675,               0.005545,               0.005545,               0.005545
                     47,                0.78933,                0.46389,                0.87236,                0.86857,                0.83585,                0.90671,                0.69238,                0.75468,                0.53197,                0.83748,               0.005446,               0.005446,               0.005446
                     48,                0.78484,                0.45807,                0.87157,                0.85308,                 0.8627,                0.90493,                0.69036,                0.75768,                0.53163,                0.83896,               0.005347,               0.005347,               0.005347
                     49,                0.78479,                 0.4584,                0.87044,                0.84703,                0.85965,                 0.9058,                0.69158,                0.75649,                0.52801,                0.83704,               0.005248,               0.005248,               0.005248
                     50,                0.78246,                 0.4547,                0.87132,                0.83649,                0.86513,                0.90529,                0.69222,                0.75621,                0.52627,                0.83825,               0.005149,               0.005149,               0.005149
                     51,                0.77597,                0.45102,                0.86822,                 0.8462,                0.85513,                0.90506,                0.69058,                 0.7543,                0.52754,                 0.8384,                0.00505,                0.00505,                0.00505
