                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.85457,                0.52904,                0.88985,                0.83668,                0.85052,                0.90353,                0.68487,                0.76456,                 0.5357,                0.84119,               0.006436,               0.006436,               0.006436
                     38,                0.84992,                0.52063,                0.89054,                0.84153,                0.85412,                0.90316,                0.68381,                0.76259,                0.53707,                0.84409,               0.006337,               0.006337,               0.006337
                     39,                0.84659,                0.51797,                0.88802,                0.83916,                0.85842,                0.90475,                0.68414,                0.76373,                0.53156,                  0.845,               0.006238,               0.006238,               0.006238
                     40,                0.83909,                0.51208,                0.88657,                0.85209,                0.84269,                0.89953,                0.68268,                0.76335,                0.53787,                0.84346,               0.006139,               0.006139,               0.006139
                     41,                 0.8403,                0.51205,                0.88825,                0.85184,                0.85017,                 0.9038,                 0.6842,                0.76266,                0.53412,                0.84338,                0.00604,                0.00604,                0.00604
                     42,                0.83571,                0.50579,                0.88493,                0.84485,                0.85889,                0.90612,                0.68595,                0.76933,                0.53116,                0.84372,               0.005941,               0.005941,               0.005941
                     43,                0.83512,                 0.5032,                0.88436,                0.83927,                0.86129,                0.90628,                 0.6874,                 0.7615,                0.53167,                0.84095,               0.005842,               0.005842,               0.005842
                     44,                0.83076,                0.49586,                0.88396,                0.85102,                0.85228,                0.90602,                0.68819,                0.76299,                0.52908,                0.84247,               0.005743,               0.005743,               0.005743
                     45,                0.82319,                 0.4933,                0.88117,                0.86004,                0.84177,                0.90458,                 0.6892,                0.76029,                0.52365,                 0.8411,               0.005644,               0.005644,               0.005644
                     46,                0.82396,                0.49313,                0.87996,                0.84013,                0.86242,                0.90644,                0.68963,                 0.7604,                0.52881,                0.84145,               0.005545,               0.005545,               0.005545
                     47,                 0.8229,                0.48908,                0.88127,                0.85271,                 0.8583,                0.90675,                0.68881,                0.76111,                0.52564,                 0.8418,               0.005446,               0.005446,               0.005446
                     48,                  0.816,                0.48532,                0.87934,                0.84653,                0.85005,                0.90598,                 0.6879,                0.75768,                0.52376,                0.84073,               0.005347,               0.005347,               0.005347
                     49,                0.81691,                0.48313,                0.87985,                0.84714,                0.85702,                0.90517,                0.69002,                0.75805,                0.52429,                0.84073,               0.005248,               0.005248,               0.005248
                     50,                0.81396,                0.48092,                0.87908,                0.84543,                0.85718,                0.90634,                 0.6907,                0.75577,                0.52002,                0.83984,               0.005149,               0.005149,               0.005149
                     51,                0.80899,                0.47489,                0.87685,                0.84714,                0.85865,                0.90581,                0.69093,                0.75459,                0.52023,                 0.8379,                0.00505,                0.00505,                0.00505
                     52,                0.80905,                0.47297,                0.87335,                0.83768,                 0.8684,                0.90756,                0.69223,                0.75749,                0.52018,                0.83865,               0.004951,               0.004951,               0.004951
                     53,                0.80047,                0.46879,                0.87609,                0.84818,                0.85414,                0.90474,                0.69175,                0.75354,                0.51935,                0.83935,               0.004852,               0.004852,               0.004852
                     54,                0.80042,                 0.4664,                0.87438,                0.85375,                0.85109,                0.90311,                0.69097,                0.75308,                0.51971,                0.84032,               0.004753,               0.004753,               0.004753
                     55,                0.79968,                0.46518,                0.87475,                0.85218,                0.84942,                0.90542,                0.69216,                 0.7533,                 0.5214,                0.83845,               0.004654,               0.004654,               0.004654
                     56,                 0.7905,                0.45985,                0.87167,                0.85033,                0.85378,                0.90514,                0.69129,                0.75567,                0.51834,                 0.8394,               0.004555,               0.004555,               0.004555
                     57,                0.79025,                0.45466,                 0.8723,                0.85358,                0.85201,                0.90695,                0.69264,                0.75351,                0.51729,                0.83794,               0.004456,               0.004456,               0.004456
                     58,                0.78538,                 0.4542,                0.87104,                0.83934,                0.86662,                0.90488,                0.69155,                0.75417,                 0.5235,                0.83787,               0.004357,               0.004357,               0.004357
                     59,                0.78701,                0.45159,                0.87065,                0.84207,                0.86287,                0.90473,                0.69173,                0.75176,                0.52419,                 0.8377,               0.004258,               0.004258,               0.004258
                     60,                0.78304,                0.44806,                 0.8696,                0.84698,                0.86291,                0.90594,                0.69417,                0.75048,                 0.5226,                0.83731,               0.004159,               0.004159,               0.004159
                     61,                  0.776,                 0.4453,                0.87048,                0.84877,                0.85661,                0.90618,                0.69456,                0.75018,                  0.521,                0.83826,                0.00406,                0.00406,                0.00406
                     62,                0.77421,                0.44245,                0.86952,                0.84698,                0.86243,                0.90488,                0.69453,                0.75037,                0.52137,                0.83835,               0.003961,               0.003961,               0.003961
                     63,                0.77055,                0.43713,                0.86697,                0.84413,                0.86199,                0.90444,                0.69353,                0.74773,                0.52107,                0.83766,               0.003862,               0.003862,               0.003862
                     64,                0.77082,                0.43632,                0.86784,                0.84619,                0.85812,                0.90428,                0.69376,                0.74813,                0.52183,                0.83725,               0.003763,               0.003763,               0.003763
                     65,                0.76374,                0.43414,                0.86689,                0.85109,                0.85789,                0.90454,                0.69463,                0.74846,                0.51998,                0.83708,               0.003664,               0.003664,               0.003664
                     66,                0.76259,                0.43177,                0.86524,                0.85531,                0.85293,                0.90416,                0.69339,                0.75069,                0.52136,                0.83743,               0.003565,               0.003565,               0.003565
                     67,                 0.7625,                0.43109,                0.86325,                0.84772,                0.86112,                0.90389,                0.69358,                0.75203,                0.52402,                0.83666,               0.003466,               0.003466,               0.003466
                     68,                0.75689,                0.42688,                0.86224,                0.85185,                 0.8566,                0.90388,                0.69418,                0.75128,                0.52273,                0.83594,               0.003367,               0.003367,               0.003367
                     69,                0.75068,                0.42158,                0.86244,                0.85309,                0.85505,                0.90448,                0.69458,                0.75083,                0.52072,                0.83526,               0.003268,               0.003268,               0.003268
                     70,                0.74735,                0.41893,                0.85869,                0.85385,                0.85455,                 0.9042,                0.69439,                0.75128,                0.52479,                0.83552,               0.003169,               0.003169,               0.003169
                     71,                0.74395,                0.41718,                0.85925,                0.85862,                0.84627,                0.90392,                0.69376,                0.75088,                0.52481,                 0.8355,                0.00307,                0.00307,                0.00307
                     72,                0.74331,                  0.413,                0.86108,                0.85579,                0.84849,                0.90428,                0.69383,                0.75219,                0.52648,                0.83635,               0.002971,               0.002971,               0.002971
                     73,                0.73653,                0.41096,                0.85955,                0.83896,                0.86468,                 0.9034,                0.69334,                0.75212,                0.52839,                0.83669,               0.002872,               0.002872,               0.002872
                     74,                0.73352,                0.40954,                0.85948,                0.85901,                0.84511,                0.90314,                0.69326,                0.75233,                0.52959,                0.83703,               0.002773,               0.002773,               0.002773
                     75,                0.73635,                0.40898,                0.86037,                 0.8576,                0.84625,                0.90316,                0.69317,                 0.7527,                0.52922,                0.83667,               0.002674,               0.002674,               0.002674
                     76,                0.72785,                0.40148,                0.85592,                0.86312,                0.84222,                0.90228,                0.69291,                0.75233,                0.52623,                0.83659,               0.002575,               0.002575,               0.002575
                     77,                0.72501,                0.39967,                0.85736,                0.86176,                0.84363,                 0.9028,                0.69333,                 0.7523,                0.52684,                0.83649,               0.002476,               0.002476,               0.002476
                     78,                0.71907,                0.39699,                0.85411,                0.85463,                0.85169,                0.90224,                0.69286,                0.75221,                0.52804,                0.83617,               0.002377,               0.002377,               0.002377
                     79,                 0.7176,                0.39346,                0.85399,                0.85935,                 0.8461,                0.90184,                 0.6931,                 0.7519,                0.52975,                0.83618,               0.002278,               0.002278,               0.002278
                     80,                0.71246,                0.39111,                0.85249,                0.84794,                0.85652,                0.90172,                0.69333,                0.75143,                0.52978,                0.83612,               0.002179,               0.002179,               0.002179
                     81,                0.71121,                0.39022,                0.85141,                0.84217,                0.86139,                0.90211,                 0.6935,                0.75124,                0.53072,                0.83599,                0.00208,                0.00208,                0.00208
                     82,                0.70885,                0.38893,                0.84975,                0.84202,                0.86301,                0.90198,                 0.6938,                 0.7513,                0.53188,                 0.8361,               0.001981,               0.001981,               0.001981
                     83,                0.70772,                0.38666,                 0.8492,                0.84252,                0.86283,                 0.9018,                0.69353,                0.75197,                0.53198,                0.83587,               0.001882,               0.001882,               0.001882
                     84,                0.70177,                0.38298,                0.85063,                0.84226,                0.86334,                 0.9015,                0.69381,                0.75191,                0.53179,                0.83554,               0.001783,               0.001783,               0.001783
                     85,                 0.6988,                0.38097,                0.85015,                0.84065,                0.86595,                 0.9016,                0.69361,                0.75186,                 0.5321,                0.83553,               0.001684,               0.001684,               0.001684
                     86,                0.69285,                0.37528,                0.84714,                0.83839,                0.86758,                0.90131,                0.69349,                0.75224,                0.53306,                0.83574,               0.001585,               0.001585,               0.001585
                     87,                0.68988,                0.37307,                0.84877,                0.83618,                0.87026,                0.90144,                0.69322,                0.75231,                0.53347,                0.83609,               0.001486,               0.001486,               0.001486
                     88,                0.68724,                0.36817,                0.84765,                0.83984,                0.86608,                0.90125,                0.69329,                0.75236,                0.53352,                0.83624,               0.001387,               0.001387,               0.001387
                     89,                0.68471,                0.36766,                0.84741,                0.84053,                0.86423,                0.90093,                  0.693,                 0.7521,                0.53399,                0.83625,               0.001288,               0.001288,               0.001288
                     90,                 0.6817,                0.36562,                0.84682,                0.83893,                0.86657,                 0.9012,                0.69269,                0.75199,                 0.5348,                0.83621,               0.001189,               0.001189,               0.001189
                     91,                0.68252,                0.34882,                 0.8469,                0.84701,                0.85795,                0.90076,                0.69222,                0.75249,                0.53544,                0.83641,                0.00109,                0.00109,                0.00109
                     92,                 0.6745,                0.34398,                0.84441,                0.84392,                0.86072,                0.90071,                0.69236,                0.75247,                0.53601,                0.83641,               0.000991,               0.000991,               0.000991
                     93,                0.66868,                0.33947,                0.84382,                0.84964,                0.85438,                 0.9001,                0.69196,                0.75254,                0.53708,                0.83654,               0.000892,               0.000892,               0.000892
                     94,                0.66236,                0.33604,                0.84126,                0.85124,                0.85288,                0.89975,                0.69141,                0.75256,                0.53713,                0.83676,               0.000793,               0.000793,               0.000793
                     95,                0.65783,                0.33267,                0.84034,                0.85765,                0.84558,                 0.8997,                0.69124,                0.75288,                0.53845,                 0.8369,               0.000694,               0.000694,               0.000694
                     96,                0.65431,                0.33048,                0.83899,                0.85805,                 0.8447,                0.89929,                0.69072,                0.75302,                0.53944,                0.83701,               0.000595,               0.000595,               0.000595
                     97,                0.64862,                0.32568,                 0.8379,                0.84016,                0.86274,                0.89889,                0.69058,                 0.7533,                0.54083,                0.83711,               0.000496,               0.000496,               0.000496
                     98,                0.64453,                0.32304,                0.83675,                0.84133,                0.86191,                0.89846,                0.69027,                0.75354,                0.54175,                0.83733,               0.000397,               0.000397,               0.000397
                     99,                0.64196,                0.32053,                0.83701,                0.84217,                0.86027,                 0.8982,                0.69032,                0.75354,                0.54239,                0.83737,               0.000298,               0.000298,               0.000298
                    100,                0.63521,                0.31706,                0.83551,                 0.8435,                0.85889,                0.89813,                0.69018,                0.75365,                 0.5435,                 0.8374,               0.000199,               0.000199,               0.000199
