                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.87689,                 1.0293,                0.57734,                0.90981,                0.84077,                0.82777,                0.89744,                0.67304,                0.83867,                0.81221,                0.89254,                0.67047,                0.78253,                0.70019,                0.56232,                0.85096,               0.007624,               0.007624,               0.007624
                     26,                0.86918,                 1.0141,                 0.5693,                 0.9073,                0.84393,                 0.8486,                0.90113,                0.68139,                 0.8391,                 0.8434,                0.89675,                 0.6888,                0.77079,                0.69562,                0.55236,                0.84913,               0.007525,               0.007525,               0.007525
                     27,                0.86384,                 1.0167,                0.56087,                0.90316,                0.83373,                0.85392,                0.90164,                0.67911,                0.82681,                0.84667,                0.89543,                0.68184,                0.77339,                0.69051,                0.55067,                0.84968,               0.007426,               0.007426,               0.007426
                     28,                 0.8568,                 1.0049,                0.55552,                0.90106,                0.83733,                0.85263,                  0.906,                0.68526,                0.83137,                0.84008,                0.89766,                0.68077,                 0.7693,                0.69089,                0.54243,                0.84918,               0.007327,               0.007327,               0.007327
                     29,                0.85845,                  1.006,                0.55266,                0.90052,                 0.8442,                0.84886,                0.90705,                0.68821,                0.83906,                0.83771,                0.89937,                0.68619,                0.76111,                0.69015,                0.53909,                0.84628,               0.007228,               0.007228,               0.007228
                     30,                 0.8515,                0.99948,                 0.5464,                0.90118,                0.83601,                0.84338,                0.90201,                0.68543,                0.82789,                0.83479,                0.89501,                0.68326,                0.76211,                0.68861,                0.54133,                 0.8464,               0.007129,               0.007129,               0.007129
                     31,                0.85104,                 1.0006,                0.54558,                0.90026,                0.84541,                0.84878,                0.89992,                0.68518,                0.84057,                0.84866,                0.89679,                0.68462,                0.75913,                0.68949,                0.53571,                0.84605,                0.00703,                0.00703,                0.00703
                     32,                0.84505,                0.99221,                0.53703,                0.89699,                0.85869,                0.83468,                0.90195,                0.68713,                0.83245,                0.85187,                0.90046,                 0.6912,                0.75948,                0.68317,                0.53686,                0.84716,               0.006931,               0.006931,               0.006931
                     33,                0.84005,                0.98211,                0.53159,                0.89599,                0.85111,                0.84702,                 0.9062,                0.68858,                0.84052,                0.83898,                0.89911,                0.69193,                0.76104,                0.69085,                0.53199,                0.84758,               0.006832,               0.006832,               0.006832
                     34,                0.83767,                0.98327,                0.52363,                0.89655,                0.85617,                 0.8369,                0.90063,                0.68662,                0.81913,                0.85339,                0.89527,                0.68606,                0.75792,                0.68413,                0.53155,                 0.8452,               0.006733,               0.006733,               0.006733
