                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.74773,                0.52922,                0.08589,                0.80798,                0.73002,                0.78843,                0.51416,                0.44993,                0.56332,                 0.0553,               0.006436,               0.006436,               0.006436
                     38,                0.74293,                0.53871,                0.08649,                0.82307,                0.73591,                0.80165,                0.54212,                0.42625,                0.55954,                0.05337,               0.006337,               0.006337,               0.006337
                     39,                0.73676,                0.53683,                0.08476,                0.82506,                0.74202,                 0.8087,                0.56159,                 0.4058,                0.55845,                0.05085,               0.006238,               0.006238,               0.006238
                     40,                0.72947,                0.53444,                0.08445,                0.82136,                0.73363,                0.79955,                0.55502,                0.41432,                0.55837,                0.05085,               0.006139,               0.006139,               0.006139
                     41,                0.72534,                 0.5308,                0.08152,                  0.824,                0.74284,                 0.8068,                0.55677,                0.41674,                0.54563,                0.05101,                0.00604,                0.00604,                0.00604
                     42,                0.74069,                0.53331,                0.08587,                0.82365,                0.72449,                0.79583,                0.53344,                0.45196,                0.54438,                0.05381,               0.005941,               0.005941,               0.005941
                     43,                0.75406,                0.53177,                0.08882,                0.82779,                0.72879,                0.79537,                0.54842,                0.42331,                0.55801,                 0.0523,               0.005842,               0.005842,               0.005842
                     44,                0.70947,                0.53535,                0.08178,                0.83747,                0.73767,                0.80093,                0.55525,                0.42701,                0.55079,                0.05149,               0.005743,               0.005743,               0.005743
                     45,                0.70418,                0.53558,                0.07983,                0.83676,                0.75926,                0.82013,                0.56763,                0.40861,                 0.5507,                0.04944,               0.005644,               0.005644,               0.005644
                     46,                0.73033,                 0.5313,                0.08596,                0.83533,                0.75094,                0.81573,                0.55495,                 0.4181,                0.54897,                0.05087,               0.005545,               0.005545,               0.005545
                     47,                0.70325,                0.54587,                0.08234,                0.84014,                0.74723,                0.81144,                 0.5689,                0.40003,                0.56328,                0.04992,               0.005446,               0.005446,               0.005446
                     48,                0.71636,                0.53974,                0.08307,                0.83675,                0.74773,                0.81258,                0.56864,                0.40104,                0.56436,                   0.05,               0.005347,               0.005347,               0.005347
                     49,                0.69941,                0.52877,                 0.0786,                0.84516,                0.75643,                0.81779,                0.56822,                0.40914,                0.55018,                 0.0502,               0.005248,               0.005248,               0.005248
                     50,                0.70129,                0.53608,                 0.0826,                0.83945,                0.75329,                0.81972,                0.58123,                0.39055,                  0.561,                0.04826,               0.005149,               0.005149,               0.005149
                     51,                0.74084,                0.52351,                0.08791,                0.83819,                0.75261,                0.81361,                0.56993,                0.39318,                0.56461,                 0.0493,                0.00505,                0.00505,                0.00505
                     52,                0.70516,                0.53316,                0.08132,                0.84052,                0.74402,                0.81008,                0.56711,                0.40366,                0.56756,                0.05051,               0.004951,               0.004951,               0.004951
                     53,                0.67734,                0.52723,                0.07524,                0.83867,                0.77096,                0.82525,                0.57215,                0.39797,                0.54628,                 0.0495,               0.004852,               0.004852,               0.004852
                     54,                0.67745,                0.53378,                0.07711,                0.84467,                0.76792,                0.83059,                0.58206,                0.39052,                0.54432,                0.04809,               0.004753,               0.004753,               0.004753
                     55,                0.67387,                0.53195,                0.07858,                  0.845,                0.76713,                0.82593,                0.58566,                0.38429,                0.55311,                 0.0477,               0.004654,               0.004654,               0.004654
                     56,                0.69869,                0.54158,                0.08395,                0.83048,                0.75157,                0.81018,                0.57147,                0.40385,                0.56664,                0.05033,               0.004555,               0.004555,               0.004555
                     57,                0.68789,                0.54952,                0.08426,                0.82664,                0.74149,                0.80342,                0.56408,                0.41278,                0.56902,                0.05198,               0.004456,               0.004456,               0.004456
                     58,                0.72203,                0.54358,                0.09306,                0.80094,                0.71108,                0.77885,                0.54127,                0.43892,                0.57862,                0.05482,               0.004357,               0.004357,               0.004357
                     59,                0.69921,                0.54004,                0.08554,                0.82746,                0.72955,                0.79626,                0.55251,                0.43704,                0.56416,                0.05352,               0.004258,               0.004258,               0.004258
                     60,                0.66542,                 0.5394,                0.07975,                0.84359,                0.74434,                0.80932,                0.56553,                0.41904,                0.56261,                0.05153,               0.004159,               0.004159,               0.004159
                     61,                0.64853,                0.55402,                0.07763,                0.85115,                0.74827,                0.81321,                0.57268,                0.40612,                0.57048,                0.05012,                0.00406,                0.00406,                0.00406
                     62,                0.65513,                0.56042,                 0.0781,                0.85118,                0.73611,                0.80586,                0.56949,                0.40794,                0.57776,                0.04993,               0.003961,               0.003961,               0.003961
                     63,                 0.6669,                0.53276,                0.07777,                0.84887,                0.74191,                0.80625,                0.57157,                0.40766,                0.57244,                0.05016,               0.003862,               0.003862,               0.003862
                     64,                0.65798,                0.57404,                0.07881,                0.84759,                0.72914,                0.79874,                0.56506,                0.40984,                0.58393,                0.05008,               0.003763,               0.003763,               0.003763
                     65,                0.61316,                0.54964,                0.06962,                0.84631,                0.73484,                0.80403,                0.56888,                 0.4073,                0.58148,                0.04979,               0.003664,               0.003664,               0.003664
